SaleID,BranchCode,BranchCity,BranchSize,BranchOwner,YearOfEstablishment,CustomerType,CustomerGenderCode,CustomerGender,ProductLineCode,ProductLine,ProductLineSupplier,UnitPrice,Quantity,TotalNoTAX,Tax 5%,TotalWithTAX,SaleMonthInNumber,SaleMonth,SaleQuarter,SaleYear,SaleTime,SalePayment,Rating
371-85-5789,B,Mandalay,835,Mohamd Gabar,2016,Normal,1,Male,HB,Health and beauty,Dove,87.98,3,263.94,13.2,277.14,1,January,Q1,2019,10:40:00,Ewallet,5.1
273-16-6619,B,Mandalay,835,Mohamd Gabar,2016,Normal,1,Male,HL,Home and lifestyle,Bed Bath & Beyond,33.2,2,66.4,3.32,69.72,1,January,Q1,2019,12:20:00,Credit card,4.4
636-48-8204,A,Yangon,550,Mitchel Frenkman,2005,Normal,1,Male,EA,Electronic accessories,Samsung,34.56,5,172.8,8.64,181.44,1,January,Q1,2019,11:15:00,Ewallet,9.9
549-59-1358,A,Yangon,550,Mitchel Frenkman,2005,Member,1,Male,ST,Sports and travel,REI ,88.63,3,265.89,13.29,279.18,2,February,Q1,2019,17:36:00,Ewallet,6
227-03-5010,A,Yangon,550,Mitchel Frenkman,2005,Member,2,Female,HL,Home and lifestyle,Bed Bath & Beyond,52.59,8,420.72,21.04,441.76,7,July,Q3,2019,19:20:00,Credit card,8.5
649-29-6775,B,Mandalay,835,Mohamd Gabar,2016,Normal,1,Male,FA,Fashion accessories,Nordstrom,33.52,1,33.52,1.68,35.2,4,April,Q2,2019,15:31:00,Cash,6.7
189-17-4241,A,Yangon,550,Mitchel Frenkman,2005,Normal,2,Female,FA,Fashion accessories,Nordstrom,87.67,2,175.34,8.77,184.11,1,January,Q1,2019,12:17:00,Credit card,7.7
145-94-9061,B,Mandalay,835,Mohamd Gabar,2016,Normal,2,Female,FB,Food and beverages,Kraft Heinz,88.36,5,441.8,22.09,463.89,12,December,Q4,2019,19:48:00,Cash,9.6
848-62-7243,A,Yangon,550,Mitchel Frenkman,2005,Normal,1,Male,HB,Health and beauty,Dove,24.89,9,224.01,11.2,235.21,12,December,Q4,2019,15:36:00,Cash,7.4
871-79-8483,B,Mandalay,835,Mohamd Gabar,2016,Normal,1,Male,FA,Fashion accessories,Nordstrom,94.13,5,470.65,23.53,494.18,3,March,Q1,2019,19:39:00,Credit card,4.8
149-71-6266,B,Mandalay,835,Mohamd Gabar,2016,Member,1,Male,ST,Sports and travel,REI ,78.07,9,702.63,35.13,737.76,1,January,Q1,2019,12:43:00,Cash,4.5
640-49-2076,B,Mandalay,835,Mohamd Gabar,2016,Normal,1,Male,ST,Sports and travel,REI ,83.78,8,670.24,33.51,703.75,4,April,Q2,2019,14:49:00,Cash,5.1
595-11-5460,A,Yangon,550,Mitchel Frenkman,2005,Normal,1,Male,HB,Health and beauty,Dove,96.58,2,193.16,9.66,202.82,4,April,Q2,2019,10:12:00,Credit card,5.1
183-56-6882,C,Naypyitaw,750,Joseph Shonfeild,2009,Member,2,Female,FB,Food and beverages,Kraft Heinz,99.42,4,397.68,19.88,417.56,2,February,Q1,2019,10:42:00,Ewallet,7.5
232-16-2483,C,Naypyitaw,750,Joseph Shonfeild,2009,Member,2,Female,ST,Sports and travel,REI ,68.12,1,68.12,3.41,71.53,3,March,Q1,2019,12:28:00,Ewallet,6.8
129-29-8530,A,Yangon,550,Mitchel Frenkman,2005,Member,1,Male,ST,Sports and travel,REI ,62.62,5,313.1,15.66,328.76,6,June,Q2,2019,19:15:00,Ewallet,7
272-65-1806,A,Yangon,550,Mitchel Frenkman,2005,Normal,2,Female,EA,Electronic accessories,Samsung,60.88,9,547.92,27.4,575.32,11,November,Q4,2019,17:17:00,Ewallet,4.7
333-73-7901,C,Naypyitaw,750,Joseph Shonfeild,2009,Normal,2,Female,HB,Health and beauty,Dove,54.92,8,439.36,21.97,461.33,4,April,Q2,2019,13:24:00,Ewallet,7.6
777-82-7220,B,Mandalay,835,Mohamd Gabar,2016,Member,1,Male,HL,Home and lifestyle,Bed Bath & Beyond,30.12,8,240.96,12.05,253.01,7,July,Q3,2019,13:01:00,Cash,7.7
280-35-5823,B,Mandalay,835,Mohamd Gabar,2016,Member,2,Female,HL,Home and lifestyle,Bed Bath & Beyond,86.72,1,86.72,4.34,91.06,7,July,Q3,2019,18:45:00,Ewallet,7.9
554-53-8700,C,Naypyitaw,750,Joseph Shonfeild,2009,Member,1,Male,HL,Home and lifestyle,Bed Bath & Beyond,56.11,2,112.22,5.61,117.83,8,August,Q3,2019,10:11:00,Cash,6.3
354-25-5821,B,Mandalay,835,Mohamd Gabar,2016,Member,2,Female,ST,Sports and travel,REI ,69.12,6,414.72,20.74,435.46,7,July,Q3,2019,13:03:00,Cash,5.6
228-96-1411,C,Naypyitaw,750,Joseph Shonfeild,2009,Member,2,Female,FB,Food and beverages,Kraft Heinz,98.7,8,789.6,39.48,829.08,4,April,Q2,2019,20:39:00,Cash,7.6
617-15-4209,C,Naypyitaw,750,Joseph Shonfeild,2009,Member,1,Male,HB,Health and beauty,Dove,15.37,2,30.74,1.54,32.28,2,February,Q1,2019,19:47:00,Cash,7.2
132-32-9879,B,Mandalay,835,Mohamd Gabar,2016,Member,2,Female,EA,Electronic accessories,Samsung,93.96,4,375.84,18.79,394.63,7,July,Q3,2019,18:00:00,Cash,9.5
370-41-7321,B,Mandalay,835,Mohamd Gabar,2016,Member,1,Male,HB,Health and beauty,Dove,56.69,9,510.21,25.51,535.72,11,November,Q4,2019,17:24:00,Credit card,8.4
727-46-3608,B,Mandalay,835,Mohamd Gabar,2016,Member,2,Female,FB,Food and beverages,Kraft Heinz,20.01,9,180.09,9,189.09,4,April,Q2,2019,15:47:00,Ewallet,4.1
669-54-1719,B,Mandalay,835,Mohamd Gabar,2016,Member,1,Male,EA,Electronic accessories,Samsung,18.93,6,113.58,5.68,119.26,8,August,Q3,2019,12:45:00,Credit card,8.1
574-22-5561,C,Naypyitaw,750,Joseph Shonfeild,2009,Member,2,Female,FA,Fashion accessories,Nordstrom,82.63,10,826.3,41.32,867.62,12,December,Q4,2019,17:08:00,Ewallet,7.9
326-78-5178,C,Naypyitaw,750,Joseph Shonfeild,2009,Member,1,Male,FB,Food and beverages,Kraft Heinz,91.4,7,639.8,31.99,671.79,7,July,Q3,2019,10:19:00,Cash,9.5
162-48-8011,A,Yangon,550,Mitchel Frenkman,2005,Member,2,Female,FB,Food and beverages,Kraft Heinz,44.59,5,222.95,11.15,234.1,7,July,Q3,2019,15:10:00,Cash,8.5
616-24-2851,B,Mandalay,835,Mohamd Gabar,2016,Member,2,Female,FA,Fashion accessories,Nordstrom,17.87,4,71.48,3.57,75.05,9,September,Q3,2019,14:42:00,Ewallet,6.5
778-71-5554,C,Naypyitaw,750,Joseph Shonfeild,2009,Member,1,Male,FA,Fashion accessories,Nordstrom,15.43,1,15.43,0.77,16.2,10,October,Q4,2019,15:46:00,Credit card,6.1
242-55-6721,B,Mandalay,835,Mohamd Gabar,2016,Normal,1,Male,HL,Home and lifestyle,Bed Bath & Beyond,16.16,2,32.32,1.62,33.94,7,July,Q3,2019,11:49:00,Ewallet,6.5
399-46-5918,C,Naypyitaw,750,Joseph Shonfeild,2009,Normal,2,Female,EA,Electronic accessories,Samsung,85.98,8,687.84,34.39,722.23,4,April,Q2,2019,19:01:00,Cash,8.2
106-35-6779,A,Yangon,550,Mitchel Frenkman,2005,Member,1,Male,HL,Home and lifestyle,Bed Bath & Beyond,44.34,2,88.68,4.43,93.11,2,February,Q1,2019,11:26:00,Cash,5.8
635-40-6220,A,Yangon,550,Mitchel Frenkman,2005,Normal,1,Male,HB,Health and beauty,Dove,89.6,8,716.8,35.84,752.64,1,January,Q1,2019,11:28:00,Ewallet,6.6
817-48-8732,A,Yangon,550,Mitchel Frenkman,2005,Member,2,Female,HL,Home and lifestyle,Bed Bath & Beyond,72.35,10,723.5,36.18,759.68,7,July,Q3,2019,15:55:00,Cash,5.4
120-06-4233,C,Naypyitaw,750,Joseph Shonfeild,2009,Normal,1,Male,EA,Electronic accessories,Samsung,30.61,6,183.66,9.18,192.84,4,April,Q2,2019,20:36:00,Cash,9.3
285-68-5083,C,Naypyitaw,750,Joseph Shonfeild,2009,Member,2,Female,ST,Sports and travel,REI ,24.74,3,74.22,3.71,77.93,3,March,Q1,2019,17:47:00,Credit card,10
803-83-5989,C,Naypyitaw,750,Joseph Shonfeild,2009,Normal,1,Male,HL,Home and lifestyle,Bed Bath & Beyond,55.73,6,334.38,16.72,351.1,6,June,Q2,2019,10:55:00,Ewallet,7
347-34-2234,B,Mandalay,835,Mohamd Gabar,2016,Member,2,Female,ST,Sports and travel,REI ,55.07,9,495.63,24.78,520.41,6,June,Q2,2019,13:40:00,Ewallet,10
199-75-8169,A,Yangon,550,Mitchel Frenkman,2005,Member,1,Male,ST,Sports and travel,REI ,15.81,10,158.1,7.91,166.01,1,January,Q1,2019,12:27:00,Credit card,8.6
853-23-2453,B,Mandalay,835,Mohamd Gabar,2016,Member,1,Male,HB,Health and beauty,Dove,75.74,4,302.96,15.15,318.11,2,February,Q1,2019,14:35:00,Cash,7.6
877-22-3308,A,Yangon,550,Mitchel Frenkman,2005,Member,1,Male,HB,Health and beauty,Dove,15.87,10,158.7,7.94,166.64,4,April,Q2,2019,16:40:00,Cash,5.8
838-78-4295,C,Naypyitaw,750,Joseph Shonfeild,2009,Normal,2,Female,HB,Health and beauty,Dove,33.47,2,66.94,3.35,70.29,3,March,Q1,2019,15:43:00,Ewallet,6.7
109-28-2512,B,Mandalay,835,Mohamd Gabar,2016,Member,2,Female,FA,Fashion accessories,Nordstrom,97.61,6,585.66,29.28,614.94,7,July,Q3,2019,15:01:00,Ewallet,9.9
232-11-3025,A,Yangon,550,Mitchel Frenkman,2005,Normal,1,Male,ST,Sports and travel,REI ,78.77,10,787.7,39.39,827.09,1,January,Q1,2019,10:04:00,Cash,6.4
382-03-4532,A,Yangon,550,Mitchel Frenkman,2005,Member,2,Female,HB,Health and beauty,Dove,18.33,1,18.33,0.92,19.25,10,October,Q4,2019,18:50:00,Cash,4.3
393-65-2792,C,Naypyitaw,750,Joseph Shonfeild,2009,Normal,1,Male,FB,Food and beverages,Kraft Heinz,89.48,10,894.8,44.74,939.54,11,November,Q4,2019,12:46:00,Credit card,9.6
796-12-2025,C,Naypyitaw,750,Joseph Shonfeild,2009,Normal,1,Male,FA,Fashion accessories,Nordstrom,62.12,10,621.2,31.06,652.26,12,December,Q4,2019,16:19:00,Cash,5.9
510-95-6347,B,Mandalay,835,Mohamd Gabar,2016,Member,2,Female,FB,Food and beverages,Kraft Heinz,48.52,3,145.56,7.28,152.84,11,November,Q4,2019,18:17:00,Ewallet,4
841-35-6630,C,Naypyitaw,750,Joseph Shonfeild,2009,Normal,2,Female,EA,Electronic accessories,Samsung,75.91,6,455.46,22.77,478.23,11,November,Q4,2019,18:21:00,Cash,8.7
287-21-9091,A,Yangon,550,Mitchel Frenkman,2005,Normal,1,Male,HL,Home and lifestyle,Bed Bath & Beyond,74.67,9,672.03,33.6,705.63,12,December,Q4,2019,10:55:00,Ewallet,9.4
732-94-0499,C,Naypyitaw,750,Joseph Shonfeild,2009,Normal,2,Female,EA,Electronic accessories,Samsung,41.65,10,416.5,20.83,437.33,5,May,Q2,2019,17:04:00,Credit card,5.4
263-10-3913,C,Naypyitaw,750,Joseph Shonfeild,2009,Member,1,Male,FA,Fashion accessories,Nordstrom,49.04,9,441.36,22.07,463.43,5,May,Q2,2019,14:20:00,Credit card,8.6
381-20-0914,A,Yangon,550,Mitchel Frenkman,2005,Member,2,Female,FA,Fashion accessories,Nordstrom,20.01,9,180.09,9,189.09,6,June,Q2,2019,15:48:00,Credit card,5.7
829-49-1914,C,Naypyitaw,750,Joseph Shonfeild,2009,Member,2,Female,FB,Food and beverages,Kraft Heinz,78.31,10,783.1,39.16,822.26,5,May,Q2,2019,16:24:00,Ewallet,6.6
756-01-7507,C,Naypyitaw,750,Joseph Shonfeild,2009,Normal,2,Female,HB,Health and beauty,Dove,20.38,5,101.9,5.1,107,12,December,Q4,2019,18:56:00,Cash,6
870-72-4431,C,Naypyitaw,750,Joseph Shonfeild,2009,Normal,2,Female,HB,Health and beauty,Dove,99.19,6,595.14,29.76,624.9,3,March,Q1,2019,14:42:00,Credit card,5.5
847-38-7188,B,Mandalay,835,Mohamd Gabar,2016,Normal,2,Female,FB,Food and beverages,Kraft Heinz,96.68,3,290.04,14.5,304.54,8,August,Q3,2019,19:56:00,Ewallet,6.4
480-63-2856,C,Naypyitaw,750,Joseph Shonfeild,2009,Normal,1,Male,FB,Food and beverages,Kraft Heinz,19.25,8,154,7.7,161.7,3,March,Q1,2019,18:37:00,Ewallet,6.6
787-56-0757,C,Naypyitaw,750,Joseph Shonfeild,2009,Member,2,Female,FB,Food and beverages,Kraft Heinz,80.36,4,321.44,16.07,337.51,2,February,Q1,2019,18:45:00,Credit card,8.3
360-39-5055,C,Naypyitaw,750,Joseph Shonfeild,2009,Member,1,Male,ST,Sports and travel,REI ,48.91,5,244.55,12.23,256.78,7,July,Q3,2019,10:17:00,Cash,6.6
730-50-9884,C,Naypyitaw,750,Joseph Shonfeild,2009,Normal,2,Female,ST,Sports and travel,REI ,83.06,7,581.42,29.07,610.49,9,September,Q3,2019,14:31:00,Ewallet,4
362-58-8315,C,Naypyitaw,750,Joseph Shonfeild,2009,Normal,1,Male,FA,Fashion accessories,Nordstrom,76.52,5,382.6,19.13,401.73,4,April,Q2,2019,10:23:00,Cash,9.9
633-44-8566,A,Yangon,550,Mitchel Frenkman,2005,Member,1,Male,FB,Food and beverages,Kraft Heinz,49.38,7,345.66,17.28,362.94,5,May,Q2,2019,20:35:00,Credit card,7.3
504-35-8843,A,Yangon,550,Mitchel Frenkman,2005,Normal,1,Male,ST,Sports and travel,REI ,42.47,1,42.47,2.12,44.59,6,June,Q2,2019,16:57:00,Cash,5.7
318-68-5053,B,Mandalay,835,Mohamd Gabar,2016,Normal,2,Female,HB,Health and beauty,Dove,76.99,6,461.94,23.1,485.04,3,March,Q1,2019,17:55:00,Cash,6.1
565-80-5980,C,Naypyitaw,750,Joseph Shonfeild,2009,Member,2,Female,HL,Home and lifestyle,Bed Bath & Beyond,47.38,4,189.52,9.48,199,4,April,Q2,2019,10:25:00,Cash,7.1
225-32-0908,C,Naypyitaw,750,Joseph Shonfeild,2009,Normal,2,Female,ST,Sports and travel,REI ,44.86,10,448.6,22.43,471.03,1,January,Q1,2019,19:54:00,Ewallet,8.2
873-51-0671,A,Yangon,550,Mitchel Frenkman,2005,Member,2,Female,ST,Sports and travel,REI ,21.98,7,153.86,7.69,161.55,2,February,Q1,2019,16:42:00,Ewallet,5.1
152-08-9985,B,Mandalay,835,Mohamd Gabar,2016,Member,1,Male,HB,Health and beauty,Dove,64.36,9,579.24,28.96,608.2,8,August,Q3,2019,12:09:00,Credit card,8.6
512-91-0811,C,Naypyitaw,750,Joseph Shonfeild,2009,Normal,1,Male,HB,Health and beauty,Dove,89.75,1,89.75,4.49,94.24,9,September,Q3,2019,20:05:00,Credit card,6.6
594-34-4444,A,Yangon,550,Mitchel Frenkman,2005,Normal,1,Male,EA,Electronic accessories,Samsung,97.16,1,97.16,4.86,102.02,2,February,Q1,2019,20:38:00,Ewallet,7.2
766-85-7061,B,Mandalay,835,Mohamd Gabar,2016,Normal,1,Male,HB,Health and beauty,Dove,87.87,10,878.7,43.94,922.64,9,September,Q3,2019,10:25:00,Ewallet,5.1
871-39-9221,C,Naypyitaw,750,Joseph Shonfeild,2009,Normal,2,Female,EA,Electronic accessories,Samsung,12.45,6,74.7,3.74,78.44,8,August,Q3,2019,13:11:00,Cash,4.1
865-92-6136,A,Yangon,550,Mitchel Frenkman,2005,Normal,1,Male,FB,Food and beverages,Kraft Heinz,52.75,3,158.25,7.91,166.16,9,September,Q3,2019,10:16:00,Ewallet,9.3
733-01-9107,B,Mandalay,835,Mohamd Gabar,2016,Normal,1,Male,HL,Home and lifestyle,Bed Bath & Beyond,82.7,6,496.2,24.81,521.01,6,June,Q2,2019,18:14:00,Cash,7.4
163-56-7055,C,Naypyitaw,750,Joseph Shonfeild,2009,Member,1,Male,FA,Fashion accessories,Nordstrom,48.71,1,48.71,2.44,51.15,6,June,Q2,2019,19:20:00,Cash,4.1
189-98-2939,C,Naypyitaw,750,Joseph Shonfeild,2009,Normal,1,Male,FA,Fashion accessories,Nordstrom,78.55,9,706.95,35.35,742.3,3,March,Q1,2019,13:22:00,Cash,7.2
551-21-3069,C,Naypyitaw,750,Joseph Shonfeild,2009,Normal,2,Female,EA,Electronic accessories,Samsung,23.07,9,207.63,10.38,218.01,8,August,Q3,2019,11:27:00,Cash,4.9
212-62-1842,A,Yangon,550,Mitchel Frenkman,2005,Normal,1,Male,FB,Food and beverages,Kraft Heinz,58.26,6,349.56,17.48,367.04,6,June,Q2,2019,16:44:00,Cash,9.9
716-39-1409,B,Mandalay,835,Mohamd Gabar,2016,Normal,1,Male,HB,Health and beauty,Dove,30.35,7,212.45,10.62,223.07,2,February,Q1,2019,18:19:00,Cash,8
704-48-3927,A,Yangon,550,Mitchel Frenkman,2005,Member,1,Male,EA,Electronic accessories,Samsung,88.67,10,886.7,44.34,931.04,10,October,Q4,2019,14:50:00,Ewallet,7.3
628-34-3388,C,Naypyitaw,750,Joseph Shonfeild,2009,Normal,1,Male,FA,Fashion accessories,Nordstrom,27.38,6,164.28,8.21,172.49,1,January,Q1,2019,20:54:00,Credit card,7.9
630-74-5166,A,Yangon,550,Mitchel Frenkman,2005,Normal,1,Male,ST,Sports and travel,REI ,62.13,6,372.78,18.64,391.42,11,November,Q4,2019,20:19:00,Cash,7.4
588-01-7461,C,Naypyitaw,750,Joseph Shonfeild,2009,Normal,2,Female,FB,Food and beverages,Kraft Heinz,33.98,9,305.82,15.29,321.11,2,February,Q1,2019,10:43:00,Cash,4.2
861-77-0145,C,Naypyitaw,750,Joseph Shonfeild,2009,Member,1,Male,EA,Electronic accessories,Samsung,81.97,10,819.7,40.99,860.69,9,September,Q3,2019,14:30:00,Cash,9.2
479-26-8945,B,Mandalay,835,Mohamd Gabar,2016,Member,2,Female,ST,Sports and travel,REI ,16.49,2,32.98,1.65,34.63,6,June,Q2,2019,11:32:00,Ewallet,4.6
210-67-5886,C,Naypyitaw,750,Joseph Shonfeild,2009,Member,2,Female,HB,Health and beauty,Dove,98.21,3,294.63,14.73,309.36,8,August,Q3,2019,10:41:00,Credit card,7.8
227-78-1148,B,Mandalay,835,Mohamd Gabar,2016,Normal,2,Female,FA,Fashion accessories,Nordstrom,72.84,7,509.88,25.49,535.37,7,July,Q3,2019,12:44:00,Cash,8.4
645-44-1170,A,Yangon,550,Mitchel Frenkman,2005,Member,1,Male,HL,Home and lifestyle,Bed Bath & Beyond,58.07,9,522.63,26.13,548.76,6,June,Q2,2019,20:07:00,Ewallet,4.3
237-01-6122,C,Naypyitaw,750,Joseph Shonfeild,2009,Member,2,Female,HL,Home and lifestyle,Bed Bath & Beyond,80.79,9,727.11,36.36,763.47,10,October,Q4,2019,20:31:00,Credit card,9.5
225-98-1496,C,Naypyitaw,750,Joseph Shonfeild,2009,Normal,2,Female,FA,Fashion accessories,Nordstrom,27.02,3,81.06,4.05,85.11,6,June,Q2,2019,13:01:00,Credit card,7.1
291-32-1427,B,Mandalay,835,Mohamd Gabar,2016,Member,1,Male,FA,Fashion accessories,Nordstrom,21.94,5,109.7,5.49,115.19,7,July,Q3,2019,12:29:00,Ewallet,5.3
659-65-8956,B,Mandalay,835,Mohamd Gabar,2016,Member,1,Male,FA,Fashion accessories,Nordstrom,51.36,1,51.36,2.57,53.93,4,April,Q2,2019,15:26:00,Ewallet,5.2
642-32-2990,A,Yangon,550,Mitchel Frenkman,2005,Normal,2,Female,FB,Food and beverages,Kraft Heinz,10.96,10,109.6,5.48,115.08,8,August,Q3,2019,20:48:00,Ewallet,6
378-24-2715,B,Mandalay,835,Mohamd Gabar,2016,Normal,1,Male,HL,Home and lifestyle,Bed Bath & Beyond,53.44,2,106.88,5.34,112.22,9,September,Q3,2019,20:38:00,Ewallet,4.1
638-60-7125,A,Yangon,550,Mitchel Frenkman,2005,Normal,2,Female,EA,Electronic accessories,Samsung,99.56,8,796.48,39.82,836.3,12,December,Q4,2019,17:03:00,Credit card,5.2
659-36-1684,C,Naypyitaw,750,Joseph Shonfeild,2009,Member,1,Male,ST,Sports and travel,REI ,57.12,7,399.84,19.99,419.83,2,February,Q1,2019,12:02:00,Credit card,6.5
219-22-9386,B,Mandalay,835,Mohamd Gabar,2016,Member,1,Male,ST,Sports and travel,REI ,99.96,9,899.64,44.98,944.62,11,November,Q4,2019,17:26:00,Credit card,4.2
336-78-2147,C,Naypyitaw,750,Joseph Shonfeild,2009,Member,1,Male,HL,Home and lifestyle,Bed Bath & Beyond,63.91,8,511.28,25.56,536.84,9,September,Q3,2019,19:52:00,Credit card,4.6
268-27-6179,B,Mandalay,835,Mohamd Gabar,2016,Member,2,Female,FA,Fashion accessories,Nordstrom,56.47,8,451.76,22.59,474.35,12,December,Q4,2019,14:57:00,Ewallet,7.3
668-90-8900,A,Yangon,550,Mitchel Frenkman,2005,Normal,2,Female,HL,Home and lifestyle,Bed Bath & Beyond,93.69,7,655.83,32.79,688.62,3,March,Q1,2019,18:44:00,Credit card,4.5
870-54-3162,A,Yangon,550,Mitchel Frenkman,2005,Normal,2,Female,ST,Sports and travel,REI ,32.25,5,161.25,8.06,169.31,4,April,Q2,2019,13:26:00,Cash,9
189-08-9157,C,Naypyitaw,750,Joseph Shonfeild,2009,Normal,2,Female,FA,Fashion accessories,Nordstrom,31.73,9,285.57,14.28,299.85,11,November,Q4,2019,16:17:00,Credit card,5.9
663-86-9076,C,Naypyitaw,750,Joseph Shonfeild,2009,Member,2,Female,FB,Food and beverages,Kraft Heinz,68.54,8,548.32,27.42,575.74,12,December,Q4,2019,15:57:00,Ewallet,8.5
549-84-7482,B,Mandalay,835,Mohamd Gabar,2016,Normal,2,Female,ST,Sports and travel,REI ,90.28,9,812.52,40.63,853.15,2,February,Q1,2019,11:15:00,Ewallet,7.2
191-10-6171,B,Mandalay,835,Mohamd Gabar,2016,Normal,2,Female,FA,Fashion accessories,Nordstrom,39.62,7,277.34,13.87,291.21,8,August,Q3,2019,13:18:00,Cash,7.5
802-70-5316,A,Yangon,550,Mitchel Frenkman,2005,Member,2,Female,ST,Sports and travel,REI ,92.13,6,552.78,27.64,580.42,5,May,Q2,2019,20:34:00,Cash,8.3
695-51-0018,B,Mandalay,835,Mohamd Gabar,2016,Normal,2,Female,ST,Sports and travel,REI ,34.84,4,139.36,6.97,146.33,11,November,Q4,2019,18:36:00,Cash,7.4
590-83-4591,B,Mandalay,835,Mohamd Gabar,2016,Member,1,Male,EA,Electronic accessories,Samsung,87.45,6,524.7,26.24,550.94,11,November,Q4,2019,14:40:00,Credit card,8.8
483-71-1164,C,Naypyitaw,750,Joseph Shonfeild,2009,Normal,2,Female,HB,Health and beauty,Dove,81.3,6,487.8,24.39,512.19,8,August,Q3,2019,16:43:00,Ewallet,5.3
